mac,endpoint_identity_group,oui,organization,description,desk,switch,port,site
00:04:F2:82:42:FC,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019399,uscoll-sw-04,Gi1/0/4,us-college-station
10:E7:C6:25:F5:56,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019399,uscoll-sw-04,Gi1/0/4,us-college-station
00:04:F2:61:FC:F8,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019400,uscoll-sw-04,Gi1/0/5,us-college-station
10:E7:C6:E5:64:52,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019400,uscoll-sw-04,Gi1/0/5,us-college-station
00:04:F2:17:F4:99,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019401,uscoll-sw-05,Gi1/0/1,us-college-station
10:E7:C6:5B:00:0E,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019401,uscoll-sw-05,Gi1/0/1,us-college-station
00:04:F2:13:BC:E4,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019402,uscoll-sw-05,Gi1/0/2,us-college-station
10:E7:C6:77:B6:F9,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019402,uscoll-sw-05,Gi1/0/2,us-college-station
00:04:F2:24:B6:34,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019403,uscoll-sw-05,Gi1/0/3,us-college-station
10:E7:C6:A1:40:67,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019403,uscoll-sw-05,Gi1/0/3,us-college-station
00:04:F2:3E:0B:AE,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019404,uscoll-sw-05,Gi1/0/4,us-college-station
10:E7:C6:7A:1E:6D,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019404,uscoll-sw-05,Gi1/0/4,us-college-station
00:04:F2:76:DF:F8,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019405,uscoll-sw-05,Gi1/0/5,us-college-station
10:E7:C6:D5:A4:CC,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019405,uscoll-sw-05,Gi1/0/5,us-college-station
00:04:F2:A3:56:14,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019406,uscoll-sw-06,Gi1/0/1,us-college-station
10:E7:C6:3B:37:40,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019406,uscoll-sw-06,Gi1/0/1,us-college-station
00:04:F2:59:38:26,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019407,uscoll-sw-06,Gi1/0/2,us-college-station
10:E7:C6:FA:ED:5A,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019407,uscoll-sw-06,Gi1/0/2,us-college-station
00:04:F2:C4:6D:43,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019408,uscoll-sw-06,Gi1/0/3,us-college-station
10:E7:C6:AE:AF:40,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019408,uscoll-sw-06,Gi1/0/3,us-college-station
00:04:F2:1E:04:50,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019409,uscoll-sw-06,Gi1/0/4,us-college-station
10:E7:C6:52:BE:26,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019409,uscoll-sw-06,Gi1/0/4,us-college-station
00:04:F2:82:AF:95,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019410,uscoll-sw-06,Gi1/0/5,us-college-station
10:E7:C6:1C:50:65,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019410,uscoll-sw-06,Gi1/0/5,us-college-station
00:04:F2:AC:D6:23,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019411,uscoll-sw-07,Gi1/0/1,us-college-station
10:E7:C6:73:E6:04,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019411,uscoll-sw-07,Gi1/0/1,us-college-station
00:04:F2:77:20:23,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019412,uscoll-sw-07,Gi1/0/2,us-college-station
10:E7:C6:54:36:78,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019412,uscoll-sw-07,Gi1/0/2,us-college-station
00:04:F2:E9:FB:1A,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019413,uscoll-sw-07,Gi1/0/3,us-college-station
10:E7:C6:46:BC:97,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019413,uscoll-sw-07,Gi1/0/3,us-college-station
00:04:F2:F8:A4:2B,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019414,uscoll-sw-07,Gi1/0/4,us-college-station
10:E7:C6:08:45:3E,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019414,uscoll-sw-07,Gi1/0/4,us-college-station
00:04:F2:93:92:92,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019415,uscoll-sw-07,Gi1/0/5,us-college-station
10:E7:C6:1B:A0:4F,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019415,uscoll-sw-07,Gi1/0/5,us-college-station
00:04:F2:F5:98:87,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019416,uscoll-sw-08,Gi1/0/1,us-college-station
10:E7:C6:21:42:B1,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019416,uscoll-sw-08,Gi1/0/1,us-college-station
00:04:F2:1C:5B:D2,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019417,uscoll-sw-08,Gi1/0/2,us-college-station
10:E7:C6:F6:09:7C,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019417,uscoll-sw-08,Gi1/0/2,us-college-station
00:04:F2:34:11:77,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019418,uscoll-sw-08,Gi1/0/3,us-college-station
10:E7:C6:06:C7:22,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019418,uscoll-sw-08,Gi1/0/3,us-college-station
00:04:F2:C2:42:4C,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019419,uscoll-sw-08,Gi1/0/4,us-college-station
10:E7:C6:3C:EA:CB,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019419,uscoll-sw-08,Gi1/0/4,us-college-station
00:04:F2:8C:01:80,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019420,uscoll-sw-08,Gi1/0/5,us-college-station
10:E7:C6:66:A9:B7,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019420,uscoll-sw-08,Gi1/0/5,us-college-station
00:04:F2:9C:6F:97,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019421,uscoll-sw-09,Gi1/0/1,us-college-station
10:E7:C6:EA:86:90,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019421,uscoll-sw-09,Gi1/0/1,us-college-station
00:04:F2:DF:EB:79,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019422,uscoll-sw-09,Gi1/0/2,us-college-station
10:E7:C6:8F:95:30,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019422,uscoll-sw-09,Gi1/0/2,us-college-station
00:04:F2:2B:8E:A6,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019423,uscoll-sw-09,Gi1/0/3,us-college-station
10:E7:C6:18:36:37,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019423,uscoll-sw-09,Gi1/0/3,us-college-station
00:04:F2:F3:C0:7B,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019424,uscoll-sw-09,Gi1/0/4,us-college-station
10:E7:C6:AB:BE:E3,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019424,uscoll-sw-09,Gi1/0/4,us-college-station
00:04:F2:FD:E6:F8,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019425,uscoll-sw-09,Gi1/0/5,us-college-station
10:E7:C6:6E:6B:3C,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019425,uscoll-sw-09,Gi1/0/5,us-college-station
00:04:F2:57:1D:40,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019426,uscoll-sw-10,Gi1/0/1,us-college-station
10:E7:C6:AF:A9:C5,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019426,uscoll-sw-10,Gi1/0/1,us-college-station
00:04:F2:04:A2:5F,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019427,uscoll-sw-10,Gi1/0/2,us-college-station
10:E7:C6:93:C5:5E,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019427,uscoll-sw-10,Gi1/0/2,us-college-station
00:04:F2:89:09:B6,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019428,uscoll-sw-10,Gi1/0/3,us-college-station
10:E7:C6:DB:A7:4A,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019428,uscoll-sw-10,Gi1/0/3,us-college-station
00:04:F2:EA:DA:99,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019429,uscoll-sw-10,Gi1/0/4,us-college-station
10:E7:C6:03:BF:2F,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019429,uscoll-sw-10,Gi1/0/4,us-college-station
00:04:F2:AC:CB:EE,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019430,uscoll-sw-10,Gi1/0/5,us-college-station
10:E7:C6:88:65:E6,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019430,uscoll-sw-10,Gi1/0/5,us-college-station
00:04:F2:64:D3:17,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019431,uscoll-sw-11,Gi1/0/1,us-college-station
10:E7:C6:B4:66:9C,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019431,uscoll-sw-11,Gi1/0/1,us-college-station
00:04:F2:6A:5C:28,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019432,uscoll-sw-11,Gi1/0/2,us-college-station
10:E7:C6:31:F9:57,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019432,uscoll-sw-11,Gi1/0/2,us-college-station
00:04:F2:77:82:88,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019433,uscoll-sw-11,Gi1/0/3,us-college-station
10:E7:C6:C9:7E:E3,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019433,uscoll-sw-11,Gi1/0/3,us-college-station
00:04:F2:04:F3:F8,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019434,uscoll-sw-11,Gi1/0/4,us-college-station
10:E7:C6:6C:47:CE,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019434,uscoll-sw-11,Gi1/0/4,us-college-station
00:04:F2:D1:C0:93,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019435,uscoll-sw-11,Gi1/0/5,us-college-station
10:E7:C6:B4:F6:B8,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019435,uscoll-sw-11,Gi1/0/5,us-college-station
00:04:F2:51:9F:0A,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019436,uscoll-sw-12,Gi1/0/1,us-college-station
10:E7:C6:65:87:B9,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019436,uscoll-sw-12,Gi1/0/1,us-college-station
00:04:F2:C5:B9:06,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019437,uscoll-sw-12,Gi1/0/2,us-college-station
10:E7:C6:F6:BD:71,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019437,uscoll-sw-12,Gi1/0/2,us-college-station
00:04:F2:DB:5A:0C,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019438,uscoll-sw-12,Gi1/0/3,us-college-station
10:E7:C6:60:34:FD,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019438,uscoll-sw-12,Gi1/0/3,us-college-station
00:04:F2:CB:94:49,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019439,uscoll-sw-12,Gi1/0/4,us-college-station
10:E7:C6:ED:EF:C1,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019439,uscoll-sw-12,Gi1/0/4,us-college-station
00:04:F2:F7:11:44,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019440,uscoll-sw-12,Gi1/0/5,us-college-station
10:E7:C6:26:06:A1,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019440,uscoll-sw-12,Gi1/0/5,us-college-station
00:04:F2:C4:3F:73,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019441,uscoll-sw-13,Gi1/0/1,us-college-station
10:E7:C6:CD:FB:55,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019441,uscoll-sw-13,Gi1/0/1,us-college-station
00:04:F2:64:B5:37,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019442,uscoll-sw-13,Gi1/0/2,us-college-station
10:E7:C6:DD:25:37,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019442,uscoll-sw-13,Gi1/0/2,us-college-station
00:04:F2:E5:6F:16,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019443,uscoll-sw-13,Gi1/0/3,us-college-station
10:E7:C6:EA:50:B4,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019443,uscoll-sw-13,Gi1/0/3,us-college-station
00:04:F2:49:6A:FD,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019444,uscoll-sw-13,Gi1/0/4,us-college-station
10:E7:C6:46:B7:39,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019444,uscoll-sw-13,Gi1/0/4,us-college-station
00:04:F2:C3:D3:42,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019445,uscoll-sw-13,Gi1/0/5,us-college-station
10:E7:C6:0C:23:50,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019445,uscoll-sw-13,Gi1/0/5,us-college-station
00:04:F2:05:53:CA,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019446,uscoll-sw-14,Gi1/0/1,us-college-station
10:E7:C6:11:1D:41,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019446,uscoll-sw-14,Gi1/0/1,us-college-station
00:04:F2:00:E8:60,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019447,uscoll-sw-14,Gi1/0/2,us-college-station
10:E7:C6:A6:3F:05,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019447,uscoll-sw-14,Gi1/0/2,us-college-station
00:04:F2:B7:F9:BE,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019448,uscoll-sw-14,Gi1/0/3,us-college-station
10:E7:C6:11:73:A1,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019448,uscoll-sw-14,Gi1/0/3,us-college-station
00:04:F2:91:C6:8F,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019449,uscoll-sw-14,Gi1/0/4,us-college-station
10:E7:C6:07:13:3C,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019449,uscoll-sw-14,Gi1/0/4,us-college-station
00:04:F2:BE:35:0E,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019450,uscoll-sw-14,Gi1/0/5,us-college-station
10:E7:C6:F8:6B:43,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019450,uscoll-sw-14,Gi1/0/5,us-college-station
00:04:F2:B3:1A:27,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019451,uscoll-sw-15,Gi1/0/1,us-college-station
10:E7:C6:29:82:3F,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019451,uscoll-sw-15,Gi1/0/1,us-college-station
00:04:F2:E8:CB:9F,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019452,uscoll-sw-15,Gi1/0/2,us-college-station
10:E7:C6:40:0C:14,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019452,uscoll-sw-15,Gi1/0/2,us-college-station
00:04:F2:43:D2:52,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019453,uscoll-sw-15,Gi1/0/3,us-college-station
10:E7:C6:74:20:24,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019453,uscoll-sw-15,Gi1/0/3,us-college-station
00:04:F2:82:4A:E7,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019454,uscoll-sw-15,Gi1/0/4,us-college-station
10:E7:C6:92:FA:47,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019454,uscoll-sw-15,Gi1/0/4,us-college-station
00:04:F2:A2:F0:C7,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019455,uscoll-sw-15,Gi1/0/5,us-college-station
10:E7:C6:76:F2:B6,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019455,uscoll-sw-15,Gi1/0/5,us-college-station
00:04:F2:68:64:99,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019456,uscoll-sw-16,Gi1/0/1,us-college-station
10:E7:C6:83:83:B5,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019456,uscoll-sw-16,Gi1/0/1,us-college-station
00:04:F2:F8:6A:CE,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019457,uscoll-sw-16,Gi1/0/2,us-college-station
10:E7:C6:80:5D:C7,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019457,uscoll-sw-16,Gi1/0/2,us-college-station
00:04:F2:A4:01:31,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019458,uscoll-sw-16,Gi1/0/3,us-college-station
10:E7:C6:E6:68:3E,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019458,uscoll-sw-16,Gi1/0/3,us-college-station
00:04:F2:E5:A7:83,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019459,uscoll-sw-16,Gi1/0/4,us-college-station
10:E7:C6:AC:70:28,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019459,uscoll-sw-16,Gi1/0/4,us-college-station
00:04:F2:51:17:CB,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019460,uscoll-sw-16,Gi1/0/5,us-college-station
10:E7:C6:7B:F8:23,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019460,uscoll-sw-16,Gi1/0/5,us-college-station
00:04:F2:A1:3D:15,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019461,uscoll-sw-17,Gi1/0/1,us-college-station
10:E7:C6:A4:B3:3F,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019461,uscoll-sw-17,Gi1/0/1,us-college-station
00:04:F2:CC:99:4B,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019462,uscoll-sw-17,Gi1/0/2,us-college-station
10:E7:C6:4C:39:02,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019462,uscoll-sw-17,Gi1/0/2,us-college-station
00:04:F2:75:9B:82,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019463,uscoll-sw-17,Gi1/0/3,us-college-station
10:E7:C6:BE:02:6A,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019463,uscoll-sw-17,Gi1/0/3,us-college-station
00:04:F2:E5:A0:21,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019464,uscoll-sw-17,Gi1/0/4,us-college-station
10:E7:C6:16:19:3D,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019464,uscoll-sw-17,Gi1/0/4,us-college-station
00:04:F2:99:4C:43,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019465,uscoll-sw-17,Gi1/0/5,us-college-station
10:E7:C6:AE:DE:81,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019465,uscoll-sw-17,Gi1/0/5,us-college-station
00:04:F2:B9:31:CE,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019466,uscoll-sw-18,Gi1/0/1,us-college-station
10:E7:C6:68:11:36,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019466,uscoll-sw-18,Gi1/0/1,us-college-station
00:04:F2:A3:EE:2B,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019467,uscoll-sw-18,Gi1/0/2,us-college-station
10:E7:C6:30:68:3A,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019467,uscoll-sw-18,Gi1/0/2,us-college-station
00:04:F2:3F:63:A8,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019468,uscoll-sw-18,Gi1/0/3,us-college-station
10:E7:C6:B1:5F:F7,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019468,uscoll-sw-18,Gi1/0/3,us-college-station
00:04:F2:4A:56:48,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019469,uscoll-sw-18,Gi1/0/4,us-college-station
10:E7:C6:01:E8:36,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019469,uscoll-sw-18,Gi1/0/4,us-college-station
00:04:F2:69:74:F1,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019470,uscoll-sw-18,Gi1/0/5,us-college-station
10:E7:C6:6B:67:08,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019470,uscoll-sw-18,Gi1/0/5,us-college-station
00:04:F2:E6:82:B2,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019471,uscoll-sw-19,Gi1/0/1,us-college-station
10:E7:C6:58:E6:80,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019471,uscoll-sw-19,Gi1/0/1,us-college-station
00:04:F2:1D:31:76,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019472,uscoll-sw-19,Gi1/0/2,us-college-station
10:E7:C6:37:1A:4C,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019472,uscoll-sw-19,Gi1/0/2,us-college-station
00:04:F2:8D:39:54,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019473,uscoll-sw-19,Gi1/0/3,us-college-station
10:E7:C6:FD:63:A7,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019473,uscoll-sw-19,Gi1/0/3,us-college-station
00:04:F2:F6:87:73,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019474,uscoll-sw-19,Gi1/0/4,us-college-station
10:E7:C6:0F:05:10,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019474,uscoll-sw-19,Gi1/0/4,us-college-station
00:04:F2:7F:DD:B4,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019475,uscoll-sw-19,Gi1/0/5,us-college-station
10:E7:C6:22:A0:0F,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019475,uscoll-sw-19,Gi1/0/5,us-college-station
00:04:F2:E7:85:46,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019476,uscoll-sw-20,Gi1/0/1,us-college-station
10:E7:C6:CD:58:1D,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019476,uscoll-sw-20,Gi1/0/1,us-college-station
00:04:F2:0F:5D:D2,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019477,uscoll-sw-20,Gi1/0/2,us-college-station
10:E7:C6:33:65:AC,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019477,uscoll-sw-20,Gi1/0/2,us-college-station
00:04:F2:BA:B1:19,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019478,uscoll-sw-20,Gi1/0/3,us-college-station
10:E7:C6:85:7B:65,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019478,uscoll-sw-20,Gi1/0/3,us-college-station
00:04:F2:37:50:B3,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019479,uscoll-sw-20,Gi1/0/4,us-college-station
10:E7:C6:FB:A2:07,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019479,uscoll-sw-20,Gi1/0/4,us-college-station
00:04:F2:A3:9A:9B,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019480,uscoll-sw-20,Gi1/0/5,us-college-station
10:E7:C6:79:5D:0D,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-019480,uscoll-sw-20,Gi1/0/5,us-college-station
00:04:F2:22:7B:91,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-019481,uscoll-sw-21,Gi1/0/1,us-college-station
