MACAddress,EndPointPolicy,IdentityGroup,Description,DeviceRegistrationStatus,BYODRegistration,Device Type,EmailAddress,ip,FirstName,host-name,LastName,MDMServerID,MDMServerName,MDMEnrolled,Location,PortalUser,User-Name,StaticAssignment,StaticGroupAssignment,MDMOSVersion,PortalUser.FirstName,PortalUser.LastName,PortalUser.EmailAddress,PortalUser.PhoneNumber,PortalUser.GuestType,PortalUser.GuestStatus,PortalUser.Location,PortalUser.GuestSponsor,PortalUser.CreationType,AUPAccepted
00:04:F2:4D:9C:34,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:18:A1:6B,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:AE:48:CF,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:FA:92:A0,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:DF:66:29,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:D0:24:3D,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:D8:1C:A7,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:E3:7E:06,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:96:EC:7C,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:2C:A5:35,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:C1:CD:DC,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:A5:51:D5,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:A2:68:A8,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:FB:88:0A,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:06:D5:81,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:91:B0:91,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:72:6C:7A,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:D2:49:4E,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:21:A1:B2,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:E1:A7:41,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:8C:AA:9F,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:B6:B0:4B,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:00:74:70,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:9D:99:CD,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:71:4B:07,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:2F:B7:CF,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:6C:8F:A8,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:2E:0B:D2,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:22:95:C6,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:DC:0A:E4,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:6D:9B:FB,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:0F:28:FB,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:83:37:AB,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:6A:DE:C0,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:5E:24:5E,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:D0:5F:50,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:4F:AF:36,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:B2:3F:6A,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:87:28:98,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:EC:7C:60,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:EC:74:0B,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:A5:09:72,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:63:BD:B8,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:6A:20:36,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:47:F6:E6,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:37:4E:40,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:89:73:0F,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:13:9D:57,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:4A:88:7F,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:C5:EC:05,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:59:7B:96,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:24:48:C7,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:86:4D:9E,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:BA:CA:94,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:60:62:D2,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:8B:4E:90,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:AF:EF:CC,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:EE:8F:4C,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:17:61:2C,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:7B:A4:D0,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:27:CC:C9,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:6A:25:59,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:51:08:A6,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:C6:BF:AD,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:98:39:EA,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:12:12:A0,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:76:84:2B,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:98:AA:9F,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:6B:81:59,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:E7:8C:32,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:74:5D:BB,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:C3:51:39,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:AB:78:66,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:F1:1E:48,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:B2:CD:8F,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:CE:DB:BA,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:D9:E9:0B,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:15:44:20,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:47:70:D7,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:92:5B:0B,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:08:45:D5,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:38:41:27,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:90:AA:70,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:63:B3:9A,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:60:6F:C6,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:4F:5D:52,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:71:51:E9,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:D3:A6:E0,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:A6:8A:02,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:90:18:08,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:E3:5B:1C,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:7B:8A:CF,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:E2:EC:93,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:62:C8:07,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:DF:AF:DE,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:C9:66:38,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:28:64:CB,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:3B:04:5D,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:AE:C9:9F,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:DB:70:E6,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:04:A8:78,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:B2:E8:30,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:AE:AB:B0,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:1A:3B:64,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:7E:A1:EA,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:51:F6:02,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:31:51:06,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:CB:65:81,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:7E:15:5C,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:DC:A5:A5,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:83:EB:E7,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:45:14:27,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:51:6D:07,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:DE:4A:3C,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:64:69:79,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:3E:BC:12,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:BE:5D:EA,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:F5:3D:B7,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:24:E0:01,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:4F:79:67,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:1F:82:65,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:08:72:4F,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:7C:C2:88,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:EB:B1:0B,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:2D:7A:05,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:43:B8:D7,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:09:4C:01,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:BC:09:B4,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:DB:F5:CE,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:C2:77:38,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:FC:D4:FF,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:A0:D7:E4,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:FF:7D:BC,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:D7:09:1A,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:7A:22:95,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:BF:FD:AD,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:F4:B7:0F,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:67:D1:4D,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:4D:B3:29,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:90:F1:91,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:DB:23:96,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:58:0B:91,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:F7:FA:F1,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:3F:82:0D,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:F6:3B:7C,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:EA:D3:14,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:E7:5B:18,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:80:27:E2,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:B0:E3:BC,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:F8:AF:6B,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:8C:70:45,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:E2:A6:61,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:81:30:AD,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:D5:63:2F,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:F7:F6:62,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:9E:07:D8,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:06:C1:D6,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:60:80:15,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:C4:81:65,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
